"country_code","indicator_code","date","value","indicator_name","country_name"
"BRN","BCA","1994-12-31",1.588,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1995-12-31",1.154,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1996-12-31",1.354,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1997-12-31",1.212,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1998-12-31",0.752,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1999-12-31",1.545,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2000-12-31",2.998,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2001-12-31",1.951,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2002-12-31",1.756,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2003-12-31",2.484,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2004-12-31",2.882,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2005-12-31",4.033,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1993-12-31",1.225,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2007-12-31",4.828,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2008-12-31",6.939,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2009-12-31",3.977,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2010-12-31",5.016,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2011-12-31",6.43,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2012-12-31",5.684,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2013-12-31",3.778,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2014-12-31",5.251,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2015-12-31",2.157,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2016-12-31",1.47,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2017-12-31",1.984,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2018-12-31",0.937,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","2006-12-31",5.229,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1981-12-31",2.711,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1982-12-31",2.758,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1983-12-31",2.525,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1984-12-31",2.922,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1985-12-31",3.158,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1986-12-31",1.993,"Current Account Balance, USD Billions","Brunei Darussalam"
"BRN","BCA","1987-12-31",2.265,"Current Account Balance, USD Billions","Brunei Darussalam"
